City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vila velha,-20.3297,-40.2925,17.75,94,53,1.34,BR,1690005725
1,west island,-12.1568,96.8225,25.99,78,75,7.2,CC,1690005726
2,margaret river,-33.95,115.0667,16.03,62,18,3.5,AU,1690005727
3,carnarvon,-24.8667,113.6333,23.2,23,0,8.63,AU,1690005608
4,adamstown,-25.066,-130.1015,20.85,68,39,11.81,PN,1690005728
5,port-aux-francais,-49.35,70.2167,0.68,96,100,1.05,TF,1690005728
6,grytviken,-54.2811,-36.5092,-2.03,82,78,5.89,GS,1690005729
7,prado,-17.3411,-39.2208,20.01,78,64,3.89,BR,1690005730
8,lebu,-37.6167,-73.65,10.11,89,100,3.66,CL,1690005731
9,nemuro,43.3236,145.575,16.71,90,24,6.43,JP,1690005616
10,kailua-kona,19.6406,-155.9956,27.98,86,100,6.69,US,1690005732
11,chernyshevskiy,63.0128,112.4714,29.63,29,18,3.94,RU,1690005733
12,isangel,-19.55,169.2667,20.98,60,53,3.22,VU,1690005734
13,katabu,-4.9333,122.5167,27.62,66,48,3.2,ID,1690005734
14,albany,42.6001,-73.9662,18.48,92,1,2.87,US,1690005735
15,hawaiian paradise park,19.5933,-154.9731,24.85,94,41,1.68,US,1690005736
16,port alfred,-33.5906,26.891,18.14,60,63,6.14,ZA,1690005736
17,tayshet,55.9342,98.0044,28.31,32,95,4.44,RU,1690005737
18,east london,-33.0153,27.9116,18.52,55,0,5.14,ZA,1690005738
19,waitangi,-43.9535,-176.5597,12.12,92,100,3.13,NZ,1690005738
20,port mathurin,-19.6833,63.4167,23.16,74,81,9.86,MU,1690005739
21,college,64.8569,-147.8028,25.97,57,20,2.06,US,1690005740
22,puerto natales,-51.7236,-72.4875,-2.96,91,100,0.45,CL,1690005740
23,edinburgh of the seven seas,-37.0676,-12.3116,12.84,75,99,10.0,SH,1690005741
24,kirensk,57.7853,108.1119,29.56,31,4,1.71,RU,1690005563
25,severoural'sk,60.1533,59.952,21.49,49,42,3.97,RU,1690005743
26,blackmans bay,-43.0167,147.3167,13.62,67,96,2.55,AU,1690005743
27,ribeira grande,38.5167,-28.7,19.87,90,10,3.13,PT,1690005745
28,mesquite,32.7668,-96.5992,28.93,73,0,2.24,US,1690005746
29,invercargill,-46.4,168.35,4.04,82,6,2.38,NZ,1690005600
30,vilyuchinsk,52.9306,158.4028,25.15,69,64,4.27,RU,1690005747
31,quang ngai,15.1167,108.8,31.35,66,89,3.22,VN,1690005631
32,alta,69.9689,23.2717,10.59,80,100,4.47,NO,1690005749
33,tura,25.5198,90.2201,28.65,84,93,0.98,IN,1690005488
34,chibougamau,49.9168,-74.3659,12.43,97,100,2.04,CA,1690005750
35,hermanus,-34.4187,19.2345,10.56,60,100,3.4,ZA,1690005751
36,bilibino,68.0546,166.4372,24.2,45,67,2.03,RU,1690005751
37,pisco,-13.7,-76.2167,18.34,76,20,0.98,PE,1690005752
38,khuzdar,27.7384,66.6434,29.64,53,100,1.78,PK,1690005753
39,talnakh,69.4865,88.3972,26.23,39,95,3.53,RU,1690005754
40,pontianak,-0.0333,109.3333,30.99,62,75,2.06,ID,1690005633
41,isafjordur,66.0755,-23.124,10.78,75,98,0.93,IS,1690005755
42,sao miguel do araguaia,-13.275,-50.1628,19.88,55,1,2.42,BR,1690005756
43,smithers,54.7804,-127.1743,13.42,86,90,1.43,CA,1690005757
44,saipan,15.1355,145.701,29.25,100,100,4.92,MP,1690005758
45,namibe,-15.1961,12.1522,17.56,87,14,2.45,AO,1690005759
46,ilulissat,69.2167,-51.1,4.01,100,40,0.0,GL,1690005760
47,'ain deheb,34.8422,1.547,26.34,29,19,2.64,DZ,1690005760
48,vershino-darasunskiy,52.35,115.5167,24.23,27,98,4.61,RU,1690005761
49,flin flon,54.7682,-101.865,16.36,67,32,2.48,CA,1690005762
50,anadyr,64.75,177.4833,17.28,77,0,5.0,RU,1690005763
51,shiguai,40.7058,110.2856,26.53,39,29,4.41,CN,1690005764
52,al khafji,28.4391,48.4913,38.74,27,33,6.66,SA,1690005765
53,tofol,5.3248,163.0078,27.57,81,100,6.64,FM,1690005765
54,katutura,-22.521,17.0557,13.84,38,0,0.45,,1690005766
55,antonio enes,-16.2325,39.9086,23.72,69,31,4.85,MZ,1690005767
56,my tho,10.35,106.35,28.89,82,91,4.34,VN,1690005353
57,colonia,50.9333,6.95,16.35,75,0,0.51,DE,1690005610
58,hadibu,12.65,54.0333,26.62,75,53,15.14,YE,1690005769
59,klyuchi,52.2667,79.1667,21.69,67,53,9.47,RU,1690005770
60,bokani,9.4333,5.2,23.35,98,100,1.45,NG,1690005771
61,omdurman,15.6445,32.4777,32.62,45,94,9.55,SD,1690005772
62,dryden,49.7833,-92.7503,14.8,80,69,2.57,CA,1690005773
63,saint-francois,46.4154,3.9054,15.38,100,0,0.51,FR,1690005773
64,uturoa,-16.7333,-151.4333,24.6,64,17,6.04,PF,1690005774
65,tobelo,1.7284,128.0095,28.75,69,33,2.17,ID,1690005775
66,qarazhal,48.0078,70.7903,27.71,23,1,4.23,KZ,1690005775
67,tolanaro,-25.0319,46.9987,20.6,74,68,5.32,MG,1690005777
68,nova vicosa,-17.8919,-39.3719,21.44,69,60,5.28,BR,1690005777
69,alice springs,-23.7,133.8833,16.75,29,0,6.69,AU,1690005778
70,trongsa,27.5026,90.5072,25.15,60,65,2.66,BT,1690005779
71,puerto ayora,-0.7393,-90.3518,24.65,81,98,4.8,EC,1690005780
72,argo,37.6333,22.7333,29.88,30,0,1.21,GR,1690005780
73,portland,45.5234,-122.6762,24.86,57,0,2.06,US,1690005732
74,sao vicente,-23.9631,-46.3919,20.15,26,1,0.84,BR,1690005781
75,papatowai,-46.5619,169.4708,6.16,78,5,6.22,NZ,1690005782
76,kigoma,-4.8769,29.6267,23.97,43,17,5.66,TZ,1690005759
77,port lincoln,-34.7333,135.8667,13.14,70,88,8.36,AU,1690005653
78,sisimiut,66.9395,-53.6735,6.81,92,99,1.1,GL,1690005785
79,makokou,0.5738,12.8642,21.62,89,87,1.43,GA,1690005785
80,ingeniero guillermo n. juarez,-23.9,-61.85,27.16,28,5,8.66,AR,1690005786
81,dampit,-8.2116,112.7493,28.51,52,2,3.34,ID,1690005787
82,mount gambier,-37.8333,140.7667,11.09,91,91,3.56,AU,1690005788
83,broken hill,-31.95,141.4333,13.52,43,26,4.24,AU,1690005789
84,kyzylorda,44.8528,65.5092,33.01,22,0,4.0,KZ,1690005790
85,sinop,41.7711,34.8709,22.24,43,0,1.14,TR,1690005791
86,yuzhno-kurilsk,44.0306,145.8556,18.26,83,37,4.84,RU,1690005551
87,beacon square,28.2086,-82.7554,30.55,82,10,0.45,US,1690005792
88,port elizabeth,-33.918,25.5701,13.45,81,80,2.32,ZA,1690005793
89,berdigestyakh,62.0989,126.6992,24.4,35,12,4.07,RU,1690005794
90,thompson,55.7435,-97.8558,16.09,88,75,2.57,CA,1690005795
91,lepsy,46.235,78.9456,34.96,15,0,3.5,KZ,1690005795
92,parauapebas,-6.0675,-49.9022,18.95,52,0,0.38,BR,1690005797
93,iqaluit,63.7506,-68.5145,5.39,93,88,0.46,CA,1690005777
94,bethel,41.3712,-73.414,20.93,86,0,0.0,US,1690005798
95,phan rang-thap cham,11.5667,108.9833,29.13,76,100,2.59,VN,1690005592
96,lucon,46.4577,-1.1651,17.05,82,14,2.15,FR,1690005799
97,lagoa,39.05,-27.9833,20.49,82,47,1.01,PT,1690005800
98,queenstown,-31.8976,26.8753,10.69,72,51,6.69,ZA,1690005605
99,xining,36.6167,101.7667,25.62,28,30,1.35,CN,1690005732
100,constantia,44.1833,28.65,24.38,66,2,8.12,RO,1690005802
101,vila franca do campo,37.7167,-25.4333,19.23,88,46,1.84,PT,1690005802
102,wailua homesteads,22.0669,-159.378,26.44,81,40,5.66,US,1690005803
103,enewetak,11.3474,162.3373,28.81,77,92,6.09,MH,1690005804
104,utrik,11.2278,169.8474,28.16,78,79,6.61,MH,1690005805
105,dudinka,69.4058,86.1778,26.46,61,63,3.35,RU,1690005520
106,stanley,54.868,-1.6985,11.96,94,75,2.06,GB,1690005806
107,sitka,57.0531,-135.33,15.94,77,100,2.06,US,1690005807
108,keflavik,64.0049,-22.5624,11.24,76,100,3.6,IS,1690005808
109,lata,40.1629,-8.3327,16.15,96,30,1.09,PT,1690005809
110,nova sintra,14.8667,-24.7167,22.82,80,46,6.86,CV,1690005809
111,avarua,-21.2078,-159.775,20.03,88,75,3.09,CK,1690005810
